Approval Chain Name,Status,Approval Chain Type,Approval Chain Subtype,Priority,Skip Approvers,Skip Management Hierarchy,Skip Further Approvers,Auto Approve Self,Dedupe OBO User and Auto Approve,Always Evaluate,Parallel,Total Comparator,Minimum Total Amount,Maximum Total Amount,Total Currency,Minimum Approval Limit,Maximum Approval Limit Amount,Maximum Approval Limit Currency,Maximum Approval Limit,Operator,Condition 1,Condition 2,Condition 3,Condition 4,Condition 5,Condition 6,Condition 7,Condition 8,Condition 9,Condition 10,Description,Approver 1,Approver 2,Approver 3,Approver 4,Approver 5,Approver 6,Approver 7,Approver 8,Approver 9,Approver 10,Watcher 1,Watcher 2,Watcher 3,Watcher 4,Watcher 5,Approver Params,Validation Message,Signatory 1,Signatory 2,Signatory 3,Signatory 4,Signatory 5,Applies to Supplier
SpendLoad Chain,inactive,invoice,,1,No,Yes,Yes,No,No,Yes,No,Greater than,-1,,USD,,,,,And,header_cf:Spend Load ID:is not blank:,invoice_type:equals:po-backed,,,,,,,,,,amanning:250000.0:USD,vpierre:10000000.0:USD,,,,,,,,,,,,,,"",,,,,,,No
No receipt for Airfare expense,active,expense-submission-blocking,,1,,,No,No,No,,No,Greater than,0,,USD,,,,,Line-level And,expense_category_missing_required_receipt:equals:yes,expense_category:equals:Airfare,,,,,,,,,,,,,,,,,,,,,,,,,"",Please attach a receipt for any airfare expense // Veuillez joindre un recu pour cette dépense //  Por favor adjunte un recibo para cualquier gasto de pasaje aéreo // Bitte fügen Sie eine Quittung für jede Flugkostenausgabe bei,,,,,,No
TA approval,inactive,easy-form-expense-preapproval,,1,No,No,No,No,No,,No,Greater than,,,,,,,,And,,,,,,,,,,,,TA approval::AUD,,,,,,,,,,,,,,,"",,,,,,,No
Contract Signatory,active,contract-document-signatory,,1,,,No,No,No,,No,Greater than or equals,,,AUD,,,,,And,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,struax,,,,,No
DQ Remote Approver,active,requisition,,1,No,No,No,No,No,,No,Greater than,0,,AUD,,,,,And,requestor:contains:Doug,,,,,,,,,,,Test DQ Remote Approver::AUD,,,,,,,,,,,,,,,"",,,,,,,No
PO Smartview testing,active,invoice,,1,No,No,No,No,No,Yes,No,Greater than,0,,USD,,,,,And,supplier:contains:Home Depot,,,,,,,,,,,john_user:1000000000.0:USD,,,,,,,,,,,,,,,"",,,,,,,No
TestAutoApproveBojangles,inactive,invoice,,1,No,Yes,Yes,No,No,Yes,No,Greater than,0,,AUD,,,,,And,requestor:contains:Mike,,,,,,,,,,,bojangles:999999999.0:USD,,,,,,,,,,,,,,,"",,,,,,,No
Testing Wildcard,inactive,requisition-submission-blocking,,1,,,No,No,No,,No,Greater than,0,,AUD,,,,,Line-level And,line_cf:Custom Field 3:contains:*xyz,,,,,,,,,,,,,,,,,,,,,,,,,,"",Nice try,,,,,,No
SPA Approvals,inactive,coupa-pay/supplier-payment-account,,1,No,,No,No,No,,No,Greater than,,,,,,,,And,,,,,,,,,,,,SPA Approvers::,,,,,,,,,,,,,,,"",,,,,,,No
Surplus Approval,active,expense,,1,No,No,No,No,No,,No,Greater than,0,,USD,,,,,And,expense_cash_advance_surplus:greater than or equal to:0:USD,,,,,,,,,,,Julie::USD,,,,,,,,,,,,,,,"",,,,,,,No
D365 Req Approval,inactive,requisition,,1,No,No,No,No,No,,No,Greater than,-1,,USD,,,,,And,account_type_without_segments:equals:Contoso Entertainment System USA |USMF|,,,,,,,,,,,Julie::USD,Lenny:99999999999999.0:USD,,,,,,,,,,,,,,"",,,,,,,No
MQ OAuth Callout Test,active,easy-form-supplier-information,,1,No,No,No,No,No,,No,Greater than,,,,,,,,And,requested_by:contains:quinn,,,,,,,,,,,MQ APIM OAUTH::,mike.rosier@datamap.ai::,,,,,,,,,,,,,,"",,,,,,,No
CapitalPreApprovalTest,active,requisition,,1,No,No,No,No,No,,No,Greater than,0,,AUD,,,,,And,approval_chain_condition.requisition_form_name:contains:CapitalRequestTESTv1,,,,,,,,,,,mike.rosier@datamap.ai:9999999999.99:USD,,,,,,,,,,,,,,,"",,,,,,,No
BTIG FITS TEST,active,invoice,,1,No,No,No,No,No,No,No,Greater than,,,AUD,,,,,And,header_cf:FITS?:equals:true,,,,,,,,,,,bojangles::USD,,,,,,,,,,,,,,,"",,,,,,,No
Home Depot Custom Field Approver Test,inactive,invoice,,1,No,No,No,No,No,Yes,No,Greater than,-99999999,,USD,,,,,And,supplier:contains:Home Depot,,,,,,,,,,,Requester Test-invoice_header-custom_field_attribute_user-segment_-invoice_header::AUD,,,,,,,,,,,,,,,"",,,,,,,No
John Robo Approver Demo,active,invoice,,1,No,No,No,No,No,Yes,No,Greater than,-99999999,,USD,,,,,And,,,,,,,,,,,,Robo Approver Demo 1::AUD,,,,,,,,,,,,,,,"",,,,,,,No
Invoice Number Length Blocker,active,invoice-submission-blocking,,1,,,No,No,No,Yes,No,Greater than,-999999999,,USD,,,,,And,invoice_number_length:greater than or equal to:21,,,,,,,,,,,,,,,,,,,,,,,,,,"",Invoice Number cannot be greater than 20 characters.  Please revise and submit.,,,,,,Yes
SPA approval: Supplier Provided (AP),active,coupa-pay/supplier-payment-account,,1,No,,No,No,No,,No,Greater than,,,,,,,,Or,approval_chain_condition.supplier_payment_account.source:equals:csp,approval_chain_condition.supplier_payment_account.source:equals:community,approval_chain_condition.supplier_payment_account.source:equals:pmx,approval_chain_condition.supplier_payment_account.source:equals:wcs,,,,,,,,SPA AP::,,,,,,,,,,,,,,,"",,,,,,,No
CFA approval,active,coupa-pay/financial-account,,1,No,,No,No,No,,No,Greater than,,,,,,,,And,,,,,,,,,,,,SPA Approvers::,,,,,,,,,,,,,,,"",,,,,,,No
Test Blocker,active,order-header-change-submission-blocking,,1,,,No,No,No,,No,Greater than,-999999,,AUD,,,,,And,line_description:contains:Block,,,,,,,,,,,,,,,,,,,,,,,,,,"",Test Block,,,,,,No
Jims Lawn Care,inactive,invoice,,2,No,No,No,No,No,Yes,No,Greater than,-999999999,,USD,,,,,And,supplier:contains:Jims Lawn Care,,,,,,,,,,,John::AUD,,,,,,,,,,,,,,,"",,,,,,,No
Test Robot Response,inactive,easy-form-supplier-information,,2,No,No,No,No,No,,No,Greater than,,,,,,,,And,form_name:contains:test,,,,,,,,,,,,,,,,,,,,,jeff@datamapllc.com,,,,,"",,,,,,,No
SIM Approvals,active,easy-form-supplier-information,,2,No,No,No,No,No,,No,Greater than,,,,,,,,And,form_name:contains:SIM,,,,,,,,,,,Procurement::,IT Approver::,,,,,,,,,,,,,,"",,,,,,,No
Invoice # too long warning,inactive,invoice-submission-warning,,3,,,No,No,No,Yes,No,Greater than,0,,USD,,,,,And,invoice_number_length:greater than or equal to:13,,,,,,,,,,,,,,,,,,,,,,,,,,"",Invoice number length should not exceed 12 characters.,,,,,,No
Service Sheet Approval,active,service-time-sheets-header,,3,No,,No,No,No,,No,Greater than,-99,,USD,,,,,Or,approval_chain_condition.service_line_type:contains:Resource,approval_chain_condition.service_line_type:contains:Amt,approval_chain_condition.service_line_type:contains:Qty,,,,,,,,,sjones::AUD,,,,,,,,,,,,,,,"",,,,,,,No
Office Remodel Form Approval Chain,active,easy-form-office-remodel,,3,No,No,No,No,No,,No,Greater than,,,,,,,,And,form_name:contains:Office Remodel,,,,,,,,,,,Lenny::AUD,,,,,,,,,,,,,,,"",,,,,,,No
Line Commodity Missing warning,inactive,invoice-submission-warning,,4,,,No,No,No,Yes,No,Greater than,0,,USD,,,,,Line-level And,line_commodity:is blank::no,,,,,,,,,,,,,,,,,,,,,,,,,,"",Please enter commodity for each line.,,,,,,No
